Id,Label,timeset 
0,Antoni van Leeuwenhoek, 
1,Royal Society, 
2,Henry Oldenburg, 
3,Antonio Magliabechi, 
4,Antoni Heinsius, 
5,Hans Sloane, 
6,Robert Hooke, 
7,Frederik Adriaan van Reede van Renswoude, 
8,Richard Waller, 
9,Pieter Rabus, 
10,Constantijn Huygens, 
11,Nehemiah Grew, 
12,Hendrik van Bleijswijk, 
13,Christiaan Huygens, 
14,John Chamberlayne, 
15,Maarten Etienne van Velden, 
16,Lambert van Velthuysen, 
17,William Brouncker, 
18,Harmen van Zoelen, 
19,Nicolaas Witsen, 
20,Thomas Gale, 
21,Francis Aston, 
22,Karl von Hessen-Kassel, 
23,Robert Boyle, 
24,Christopher Wren, 
25,Johann Wilhelm von Pfalz-Neuburg, 
26,Georg Garden, 
27,Francesco Corner, 
28,John Somers, 
29,Daniël Papenbroek, 
30,Johan Arnoldi, 
31,Ehrenfried Walther von Tschirnhaus, 
32,Benedictus de Haan, 
33,Govert Bidloo, 
34,Petrus Valckenier, 
35,Jan van Leeuwen, 
36,Angelus van Wikhuysen, 
37,Luca Giamberti, 
38,Melchisédec Thévenot, 
39,Mary Stuart, 
40,bewindhebbers van de VOC te Delft, 
41,burgemeesters en regeerders van Delft, 
42,Nicolaas Bogaert van Belois, 
43,king of England James II, 
